Full Path,MD5,SHA-1,SHA-256,SHA-384,SHA-512,Status
.\.gitignore,c8ab2a632f4ada8b2a02ec484a729308,defaba962ee405d54c70cec84c6dad84e1ecf212,2eaf47848574d4c7cd424250f57eaa3e8379b2148ff0becf13fc59b9c5c95e61,522fc40e913cab2ffcdd78cd7ac20db779b9dcc1851b01f2cdf51a7f2a18c4802bfb3cb19d751896a58952177abfad9e,abd1f4be3a7401a69ff57d4eadadaf2f108b5482b51ba97a852856e0d40d0439aaa4c1b1c89daca2d483f04477b21170d8c5d5f45d99ac4e111f60d955f41525,Successful
.\b4CP.scripts.v05.38.00.000.2026-02-08-1745CST.tgz,0f8063d50a762ac51a5a7a4d8108ce00,969661bffbc238cd5812735dbe7cc68e329bab24,cd4b6b8f7117025ae814d5334e382b751c8e91cdd76a6133b16c977633d9973f,5841e5f8b6fa53bd7427c6eb53b3e2e14e45a575726d0a28e468d386bf2887bbdeaebfc0fbf3b2584777fb5b2a92b7ef,13083c687cffbd6ed32feafb7a960498abdd675321ad6aba358f8e17c39c6990f526c304db7dcccc8bf8d87646ebe8f3607197da92e7431c97e958084257ff21,Successful
.\B4CP.scripts.v05.38.00.000.275.2026-02-08-1745CST.INFO,a7a3dd92a02d390eec91f6cdbcd2f795,f7a8c900ee59be87ed041c31b421abbe5c77d215,9f61b011b2291d8e27cc31e472ccf0712dc70a0325b2d7918a84c10c5ab6792c,20deab6e6d6811e1be456269fae55d779a92af253012bbb325781b2d3c2838f6b9d177c95b244838499c29bdf861dd0c,e6e48e90b3325a0bd87535e7667414695607c1493a392c77510dc28184555d4d9e92f65a237c9fd61e4f2f8a1084d03395cc5114f9b4146f34c0f35db9962c81,Successful
.\b4CP.scripts.v05.38.00.000.tgz,0f8063d50a762ac51a5a7a4d8108ce00,969661bffbc238cd5812735dbe7cc68e329bab24,cd4b6b8f7117025ae814d5334e382b751c8e91cdd76a6133b16c977633d9973f,5841e5f8b6fa53bd7427c6eb53b3e2e14e45a575726d0a28e468d386bf2887bbdeaebfc0fbf3b2584777fb5b2a92b7ef,13083c687cffbd6ed32feafb7a960498abdd675321ad6aba358f8e17c39c6990f526c304db7dcccc8bf8d87646ebe8f3607197da92e7431c97e958084257ff21,Successful
.\File_Hashes_scripts_v05.38.00.000.275.csv,9c72daaa1933688ff94587edad772b39,484f59badef19dce99a2f91dea8d24711b0cedd9,5df5b30e068b0f552c3545b45ed0120fc12efadd19d975e363f8a7aa13a7a33b,8ca3a3a71fe6e3c4b975e54ea65df05a54644c0081a5743124714106665c88ccbc8eaec5d507424d737d40988c623345,5ccfe8501d72f781fd59c2545e7e9fb0b0d9f62339b0a7d092b77a420cc70e0ebff2c61147db7b4f72643df870604fb0128f1c15e135521678353b47c85f8415,Successful
.\LICENSE,3c34afdc3adf82d2448f12715a255122,7713a1753ce88f2c7e6b054ecc8e4c786df76300,0b383d5a63da644f628d99c33976ea6487ed89aaa59f0b3257992deac1171e6b,025cbdf3040f07c22a735735387759f584ceb8f4bb98d82f5c9f2d866276fe7a30be0bf2026f8e4966e861118338ed5b,4937848b94f5b50ea16c51f9e98fdcd3953aca63d63ca3bb05d8a62c107e382b71c496838d130ae504a52032398630b957acaea6c48032081a6366d27cba5ea9,Successful
.\make_github_scripts_tgz.v05.38.00.sh,3100719e5a3ba7592761902bfca10077,43c59ea008c135c0f92754ee738f1c36274f4575,b95af6c6062a81324ebb02c22a24821ca16ffcad216c0fba1b0d432f3a3e6f47,399c8f5d35ffe732aa76139ef573d57e12c238446d90125112abbe0a4c6f06cb89deb8b51a3ab52a6f1477235404bd7c,aeded328dec7fedd925201268bd9491e43e563cf618217d7387a381e340c5f8d55f38ce1a7a9d70ab4d8258e509bedb1974649606874a320485f17ec278dccbf,Successful
.\README.md,009ab3968c8dcb6653b05089fb3a1e97,d221c4c27060d10d6b83670e6eaa46f0c7823f0a,5427c12003b315cc727814210bc3b75346cda01695666f6ae8cc7501b160bf6a,e078328cf6ab45aa424aaf9f77e3d4d39161b129f4a8c795de1f6067910b60a484fa2a9a41ade4fcda4492c010fdc70b,55107c603def8dfe72ef1e3b796a39863cdcefad04d82fe31e3b3e67c0c9784de1ff2f5d63c5c5ca3c4f489f3823b7a2d0659d448101df18b19ef37294ef1a8a,Successful
.\RELEASE_INFORMATION.b4CP.v05.38.00.000.md,aa3f8393b1ee289a5025107815635215,2e089cf3603c6864ba8ec9cb485faaae5fb07a88,6ba640c45807fffeddfea09f86cb8afa2265221f9d3cdfd63d62c06ee836d643,2982434be0bbd9ef94e1570088bcfe97ede2b13216714536379aa2b983987cdbdceb383c2a3880299f153e4d045cfaa0,043b8caff811e0896a385ef0a08456eeeef5f1aabdaf6ede2102dca2e337c105d1557f677c700d9aaf0dc02f504cbfd135b6a956b1835f8a15caf2643cae23d3,Successful
.\scripts.2026-02-08-1745CST.v05.38.00.000.version,ab5e411478ebcc11ade590266ea8df97,34d446d8efc96017f37b6ab5e9496513dc69225e,d8dafdd6fc5a044ee8961a8f894155db3447e8e07918490a350df312b0bc8a09,3900e3b5d69818a5d5f2df7c6ef7d115115431f8ab778f05c39a648b93f9356fc578b4454875cbb9e092b8911d25fb65,1905381b5d59a36fdad750ac8c312fdc835435c26953a04a40c14763935d4ad5a779aefee0a5aff74cca4a0fb5897175c7a77d94c9aa23fb891b55541c6dc0e5,Successful
